RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
58848,2660,Massachusetts,5549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95E+05,314500,303800,324500,3.29E+05,317200,304300,290300,273800,260500,275600,302100,316600,297200,288600,304800,313300,351100,339100,351400,325700,323500,329400,313600,3.22E+05,305200,330700,320300,327800,309700,308300,313900,314300,317700,3.40E+05,360800,347900,310300,302100,312500,340300,345400,350100,
60765,7716,New Jersey,5550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429800,395500,407200,401700,487300,469900,436900,419200,4.33E+05,4.88E+05,421600,421100,389200,491700,517400,516100,4.00E+05,361600,377500,407600,417400,379300,364300,339300,386600,428900,436700,414200,380600,426700,404800,4.22E+05,399800,409300,391400,375300,405100,447600,413400,434200,382900,421500,400800
71267,30666,Georgia,5551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120400,1.21E+05,122200,118800,138700,142400,148300,127900,120600,115200,116400,134300,139400,141600,127800,130100,132900,135900,135600,132200,135600,137900,141100,138300,151200,152400,1.52E+05,142700,148900,154100,153800,152900,153100,158500,171200,196300,193300,182600,163200,1.91E+05,195400,2.13E+05,185600,185200,232700,242400,238100,175400,173500,172100,168200,
85858,63012,Missouri,5552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146500,149100,153500,1.57E+05,156800,156200,152500,159300,163300,156900,154300,149900,165400,169600,167400,173400,159500,163600,165100,174500,157200,163200,161500,177300,174100,170300,172600,166500,170500,173900,1.75E+05,1.99E+05,186800,186300,163600,180500,179800,174900,164200,155700,1.58E+05,167100,170700,187200,180600,
73100,34434,Florida,5553,150900,1.46E+05,144700,1.33E+05,125200,125800,117900,111400,96900,89100,93800,104900,115200,109800,103300,94700,94800,96600,94300,93700,100100,1.10E+05,119200,1.07E+05,100100,93700,92300,8.70E+04,83900,79900,7.70E+04,71500,75100,7.70E+04,82500,87300,92500,82700,78100,7.50E+04,80600,88300,84200,78400,67200,7.00E+04,73500,6.70E+04,62700,63700,75300,80100,82500,8.70E+04,9.80E+04,9.60E+04,92100,8.30E+04,72800,7.20E+04,7.50E+04,88500,86100,82600,7.90E+04,94300,96700,97700,85200,8.60E+04,82800,85500,8.20E+04,81500,82300,88700,92700,88500,76400,76900,78700,89500,95600,95900,97300,93100,92700,84500,8.20E+04,85700,92400,98800,98300,103400,98300,93900,92500,98900,104600,110100,110200,111700,111800,107100,112400,112100,120200,120800,126100,125800,129100,125700,133400,1.34E+05,138800,135600,130800,128600,1.35E+05,145900,150300,150500,142400,141900,139900,153300,149600,148100,1.43E+05,143700,156300,
60975,8086,New Jersey,5554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59E+05,1.69E+05,178800,174100,163400,152700,166800,182400,189400,194200,189300,190500,213800,210500,198300,166600,176600,177200,164700,146800,1.45E+05,140300,137300,1.48E+05,149300,167500,164800,182200,169800,156800,153400,175400,205900,
67359,22712,Virginia,5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225800,252400,260300,271600,281600,284300,280400,272600,2.67E+05,2.77E+05,2.81E+05,276400,290700,2.91E+05,290300,262700,265200,2.75E+05,271400,281800,279100,277700,268300,278800,294700,304800,3.12E+05,326700,313600,301300,303800,,,,
65377,18210,Pennsylvania,5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29E+05,1.16E+05,102800,97700,99800,98500,1.06E+05,115700,127500,129800,1.18E+05,117500,111100,118300,106100,104800,8.70E+04,86800,86800,85400,89700,89900,98400,107100,107100,110600,96100,95800,8.60E+04,90300,96400,94700,107400,100900,116400,106100,111200,109400,108900,103400,97900,100700,95800,95900,96300,98500,85600,81600,90500,101900,96300,79700,78300,80600,90100,86900,86100,83600,86300,89600,89300,89200,87700,9.10E+04,96800,94500,89500,86700,85100,98300,94500,1.00E+05,85500,89500,93400,1.02E+05,104100,92700,98400,101300,112100,112300,113300,114500,108100,1.04E+05,108100,108500,107700,103700,119400,135500,132600,123600,110100,118800,117900,118700,117800,117800,125500,123600,130400,
79565,49078,Michigan,5557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103800,108100,107900,110300,110700,104200,110700,1.02E+05,136100,1.21E+05,122100,9.50E+04,102500,115800,1.18E+05,116900,1.13E+05,115800,1.32E+05,144100,146800,152500,145400,136300,120200,113500,114900,115700,9.80E+04,97200,
66994,21713,Maryland,5558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229700,2.30E+05,2.42E+05,242600,223500,203700,204600,223800,221100,212800,211200,224500,228800,251200,252300,246400,241600,228300,258200,279800,301800,276800,252600,241100,232600,248700,256200,
