"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-02-28,6781,"Riverdale","GA","Atlanta-Sandy Springs-Roswell","Clayton County",834,111400,0.00905797101449275,0.0401493930905696,0.258757062146893,0.157561516862216,0.0389799335749113,"2006-04","2006-Q2",128500,-0.133073929961089,"2001-04"
2019-02-28,53076,"Lutz","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",835,283400,0.00354107648725213,0.0157706093189964,0.0446000737191301,0.075550548178537,0.0331167947273254,"2006-07","2006-Q3",301400,-0.059721300597213,"2006-01"
2019-02-28,6855,"Royal Oak","MI","Detroit-Warren-Dearborn","Oakland County",836,247500,0.00405679513184584,0.012684124386252,0.0654326302195437,0.080313597338969,0.0612371640930938,"2019-02","2019-Q1",247500,0,"2019-02"
2019-02-28,47526,"Saint Peters","MO","St. Louis","Saint Charles County",837,201200,0.00199203187250996,0.0105474635861376,0.0679405520169851,0.0575471823178952,0.0201571479788061,"2019-02","2019-Q1",201200,0,"2019-02"
2019-02-28,10068,"Alexandria","LA","Alexandria","Rapides Parish",838,119800,0,0.0265638389031705,0.167641325536062,0.0774585552685674,0.0215465139013962,"2019-02","2019-Q1",119800,0,"2019-02"
2019-02-28,7837,"West Des Moines","IA","Des Moines-West Des Moines","Polk County",839,226800,0.00531914893617021,0.0197841726618705,0.0466082141209045,0.0521446280719982,0.0281032152643477,"2019-02","2019-Q1",226800,0,"2019-02"
2019-02-28,41675,"Westminster","MD","Baltimore-Columbia-Towson","Carroll County",840,294200,0.00204359673024523,0.0204647936177593,0.0522174535050072,0.0303896691212442,0.0030062877538195,"2006-11","2006-Q4",335600,-0.123361144219309,"2005-03"
2019-02-28,20639,"Statesboro","GA","Statesboro","Bulloch County",841,152900,0.00393959290873276,0.031018206338503,0.135958395245171,0.0342582512358918,0.00878109555832274,"2019-02","2019-Q1",152900,0,"2019-02"
2019-02-28,31172,"Danville","VA","Danville","Danville City",842,69400,-0.00430416068866571,-0.0128022759601707,0.0190895741556534,0.00349455229267415,-0.00746509844738363,"2005-01","2005-Q1",88400,-0.214932126696833,
2019-02-28,19078,"Lompoc","CA","Santa Maria-Santa Barbara","Santa Barbara County",843,348900,-0.00143102461362335,0.000860585197934596,0.0540785498489426,0.0842853717760279,0.0328659457629479,"2005-07","2005-Q3",441400,-0.209560489352062,"2004-07"
2019-02-28,6267,"Oak Lawn","IL","Chicago-Naperville-Elgin","Cook County",844,190800,0.00315457413249211,0.0154337413517829,0.0611790878754171,0.0598169949086371,-0.000574699197065542,"2006-06","2006-Q2",244000,-0.218032786885246,"2004-06"
2019-02-28,7962,"Wilson","NC","Wilson","Wilson County",845,138700,-0.000720461095100865,0,0.08359375,0.0297313349143131,0.00845524160515598,"2019-01","2019-Q1",138800,-0.000720461095100865,"2018-11"
2019-02-28,126356,"Tamiami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",846,356400,0.00140488901376791,0.010490501842926,0.0460815967126504,0.0968425000870578,0.0372211356800942,"2007-02","2007-Q1",388900,-0.0835690408845462,"2006-03"
2019-02-28,15894,"Wheaton","IL","Chicago-Naperville-Elgin","DuPage County",847,346000,0.00115740740740741,0.00552165068294101,0.0191458026509573,0.0291480871455254,0.0106242101077159,"2007-02","2007-Q1",352100,-0.0173246236864527,"2006-05"
2019-02-28,53718,"Olympia","WA","Olympia-Tumwater","Thurston County",848,322500,0.00529925187032419,0.0241346459193395,0.0961930659415364,0.0730393284196387,0.024366047825729,"2019-02","2019-Q1",322500,0,"2019-02"
